date,dateFa,yearFa,monthFa,dwnldTB,upldTB,sumTB,fileLink
2021-03-02,1399-12-12,1399,12,425.8,48,473.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-02.csv
2021-02-11,1399-11-23,1399,11,704.2,76.5,780.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-11.csv
2021-02-16,1399-11-28,1399,11,381.5,45.3,426.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-16.csv
2021-01-28,1399-11-09,1399,11,722.6,85.3,807.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-28.csv
2021-01-19,1399-10-30,1399,10,372.3,47,419.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-19.csv
2021-02-26,1399-12-08,1399,12,394.2,41.4,435.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-26.csv
2021-03-04,1399-12-14,1399,12,398.9,42.7,441.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-04.csv
2021-03-15,1399-12-25,1399,12,735.3,81,816.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-15.csv
2021-03-01,1399-12-11,1399,12,756.9,87.3,844.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-01.csv
2021-01-29,1399-11-10,1399,11,364.6,41.4,406,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-29.csv
2021-01-27,1399-11-08,1399,11,404.4,48.1,452.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-27.csv
2021-01-22,1399-11-03,1399,11,702,82.5,784.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-22.csv
2021-02-15,1399-11-27,1399,11,753.2,88.6,841.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-15.csv
2021-03-03,1399-12-13,1399,12,785.1,88.4,873.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-03.csv
2021-02-23,1399-12-05,1399,12,729.6,86.1,815.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-23.csv
